Income,TotalSpend,Recency,CustomerTenure,NumDealsPurchases,NumWebVisitsMonth,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,TotalChildren,Cluster,ClusterName,TotalPurchases
58138.0,1617,58,13.32,3,7,8,10,4,0,0,High value loyal customers,22
46344.0,27,38,11.82,2,5,1,1,2,2,3,At risk customers,4
71613.0,776,26,12.36,1,4,8,2,10,0,1,Deal driven customers,20
26646.0,53,26,11.89,2,6,2,0,4,1,3,At risk customers,6
58293.0,422,94,11.95,5,5,5,3,6,1,0,High value loyal customers,14
62513.0,716,16,12.31,2,6,6,4,10,1,0,High value loyal customers,20
55635.0,590,34,13.13,4,6,7,3,7,1,0,High value loyal customers,17
33454.0,169,32,12.65,2,8,4,0,4,1,2,Family budget customers,8
30351.0,46,19,12.57,1,9,3,0,2,1,2,Family budget customers,5
5648.0,49,68,11.8,1,20,1,0,0,2,2,Family budget customers,1
52247.25135379061,19,11,12.13,1,7,1,0,2,1,3,At risk customers,3
7500.0,61,59,13.13,1,8,2,0,3,0,2,Family budget customers,5
63033.0,1102,82,12.13,1,2,3,4,8,0,1,Deal driven customers,15
59354.0,310,53,12.13,3,6,6,1,5,2,0,High value loyal customers,12
17323.0,46,38,13.22,1,8,1,0,3,0,2,Family budget customers,4
82800.0,1315,23,13.1,1,3,7,6,12,0,1,Deal driven customers,25
41850.0,96,51,13.02,3,8,3,0,3,2,2,Family budget customers,6
37760.0,317,20,13.33,2,7,4,1,6,0,0,High value loyal customers,11
76995.0,1782,91,12.76,2,5,11,4,9,1,0,High value loyal customers,24
33812.0,133,86,13.16,2,6,2,1,3,1,2,Family budget customers,6
37040.0,316,41,13.4,1,8,4,2,5,0,2,Family budget customers,11
2447.0,1730,42,12.98,15,1,0,28,0,1,2,Family budget customers,28
58607.0,972,63,13.02,3,8,2,3,9,1,0,High value loyal customers,14
65324.0,544,0,11.97,3,4,6,2,9,1,0,High value loyal customers,17
40689.0,444,69,12.79,7,8,7,1,5,1,0,High value loyal customers,13
18589.0,75,89,12.99,2,7,2,1,3,0,2,Family budget customers,6
53359.0,257,4,12.6,4,7,5,1,4,2,0,High value loyal customers,10
52247.25135379061,637,19,12.86,0,1,27,0,0,1,1,Deal driven customers,27
38360.0,131,26,12.59,2,3,2,1,4,1,3,At risk customers,7
84618.0,1672,96,12.11,1,2,6,9,10,0,1,Deal driven customers,25
10979.0,30,34,11.61,2,5,3,0,3,0,2,Family budget customers,6
38620.0,318,56,12.64,1,3,2,5,3,0,1,Deal driven customers,10
40548.0,120,31,13.22,2,5,2,1,4,1,2,Family budget customers,7
46610.0,302,8,13.17,6,6,4,1,6,2,0,High value loyal customers,11
68657.0,1196,4,12.86,1,7,3,5,9,0,1,Deal driven customers,17
49389.0,65,55,12.34,1,7,2,0,3,2,3,At risk customers,5
67353.0,913,37,12.0,5,2,5,6,12,1,1,Deal driven customers,23
23718.0,81,76,12.33,3,7,3,1,2,1,2,Family budget customers,6
42429.0,67,99,11.88,2,5,1,1,3,1,3,At risk customers,5
48948.0,902,53,12.91,2,6,7,10,5,0,0,High value loyal customers,22
80011.0,1395,3,12.67,2,4,8,6,5,1,0,High value loyal customers,19
20559.0,53,88,12.81,2,8,2,0,3,1,2,Family budget customers,5
21994.0,22,4,13.02,1,5,0,0,3,1,2,Family budget customers,3
52247.25135379061,186,80,12.15,1,2,1,3,4,0,1,Deal driven customers,8
7500.0,31,19,12.25,3,5,2,0,3,1,2,Family budget customers,5
79941.0,984,72,11.51,1,1,2,4,9,0,1,Deal driven customers,15
7500.0,122,24,13.14,3,9,3,1,3,0,2,Family budget customers,7
41728.0,55,92,12.61,1,10,2,0,2,1,2,Family budget customers,4
52247.25135379061,124,96,12.0,3,6,2,1,4,3,3,At risk customers,7
72550.0,1319,39,13.15,9,8,5,2,12,2,0,High value loyal customers,19
65486.0,507,29,11.64,1,2,4,2,10,1,1,Deal driven customers,16
79143.0,1693,2,13.39,1,3,6,9,13,0,1,Deal driven customers,28
35790.0,72,54,12.99,2,7,2,0,3,1,2,Family budget customers,5
82582.0,1617,54,11.57,1,1,4,9,7,0,1,Deal driven customers,20
66373.0,606,57,12.55,7,3,4,2,10,2,0,High value loyal customers,16
82384.0,1957,55,13.12,1,1,3,10,13,0,1,Deal driven customers,26
